Common website translations - a resource by and from !frappant and contributing translators - https://github.com/frappant/common-website-translations,,,,
en_GB,de_DE,fr_FR,it_IT,
The following question was received via {{website}} on {{date}} at {{time}} from user {{user.nicename}} ({{user.email}}).{{BR}}{{BR}}---{{BR}}{{question}}{{BR}}---,"Auf {{website}} Wurde eine Frage gestellt. Datum: {{date}}, um {{time}} Benutzer: {{user.nicename}}, ({{user.email}}).{{BR}}{{BR}}---{{BR}}Die Frage lautet: {{BR}}{{question}}{{BR}}---",La question suivante a été reçue via {{website}} le {{date}} à {{time}} de l’utilisateur {{user.nicename}} ({{user.email}}).{{BR}}{{BR}}---{{BR}}{{question}}{{BR}}---,La seguente domanda è stata ricevuta tramite {{website}} in data {{date}} alle ore {{time}} dall’utente {{user.nicename}} ({{user.email}}).{{BR}}{{BR}}---{{BR}}{{question}}{{BR}}---,
Unable to save message as page comment. Current user was “%1$s”; message was “%2$s”,Die Nachricht konnte nicht als Kommentar gespeichert werden. Benutzer: “%1$s”; Nachricht: ”%2$s”,Impossible d’enregistrer un message en tant que commentaire de page. L’utilisateur actuel était “%1$s”; le message était “%2$s”,Impossibile salvare il messaggio come commento alla pagina. L’utente attuale era “%1$s”; il messaggio era “%2$s”,
You are logged in as %1$s. You can submit a question using this form.,Sie sind angemeldet als %1$s. Sie können mit diesem Formular eine Frage senden.,Vous êtes connecté en tant que %1$s. Vous pouvez soumettre une question par le biais de ce formulaire.,Ha effettuato il login come %1$s. Può inviare una domanda utilizzando questo modulo.,
Please enter your question in this field,Geben Sie hier Ihre Frage ein.,Veuillez saisir votre question dans ce champ,Immettere la Sua domanda in questo campo,
Send,Einreichen,Envoyer,Inviare,
Reference number,Referenznummer,Numéro de référence,Numero di riferimento,
Offer amount,Angebot,Montant de l’offre,Ammontare offerta,
Tenderor,Bieter,Soumissionnaire,Offerente,
Offer,Gebot,Offre,Offerta,
Add New,Neu,Ajouter nouveau,Aggiungere nuova,
Add new offer,Neues Angebot,Ajouter nouvelle offre,Aggiungere nuova offerta,
Edit offer,Angebot bearbeiten,Modifier l’offre,Modificare offerta,
New offer,Neues Angebot,Nouvelle offre,Nuova offerta,
All offers,All Angebote,Toutes les offres,Tutte le offerte,
View offer,Angebot ansehen,Voir l’offre,Visualizzare offerta,
Search offers,Angebot suchen,Rechercher des offres,Cercare offerte,
No offers found,Keine Angebote gefunden,Aucune offre trouvée,Nessuna offerta trovata,
No offers found in the trash,Keine Angebote im Papierkorb,Aucune offre trouvée dans la corbeille,Nessuna offerta trovata nel cestino,
Auction,Auktion,Vente aux enchères,Asta,
Contains data of offers submitted to an auction.,Angebotsdaten die zu einer Auktion gehören.,Contient des données d’offres soumises à une vente aux enchères.,Contiene i data dell’offerta inviati a un’asta.,
Email address for notifications,E-Mail-Adresse für Notifikationen,Adresse e-mail pour les notifications,Indirizzo e-mail per notifiche,
"This email address will be used by functions which send a message to the administrator. If this address is not set, then the general administration email address for this website will be used.","Diese E-Mail-Adresse wird in Funktionen angewendet, die E-Mails an den Administrator verschicken. Falls die Adresse nicht gesetzt ist, wird die allgemeine E-Mail-Adresse für diese Webseite angewendet.","Cette adresse e-mail sera utilisée pour l’envoi d’un message à l’administrateur. Si cette adresse n’est pas définie, l’adresse e-mail de l’administration générale de ce site Web sera utilisée.","Questo indirizzo e-mail verrà utilizzato per funzioni che inviano un messaggio all’amministratore. Se questo indirizzo non è impostato, verrà utilizzato l’indirizzo e-mail dell’amministrazione generale per questo sito web.",
(Separate multiple email addresses with commas.),(Eingaben von mehreren Adressen mit Komma trennen.),(Adresses e-mail multiples séparées par une virgule.),(Separare indirizzi e-mail multipli con virgole.),
End date of auction,Enddatum der Auktion,Date de la fin de la vente aux enchères,Termine ultimo dell’asta,
Add a date and time in a format recognized by PHP's <code>strtotime</code> function.,"Ein Datum (mit optionaler Zeitangabe), welches durch die PHP-Funktion <code>strtotime</code> verstanden wird.",Ajouter une date et l’heure dans un format reconnu par la fonction <code>strtotime</code> de PHP.,Aggiungere una data e l’orario in un formato riconosciuto dalla funzione di PHP <code>strtotime</code>.,
Basic Price,Basis Preis,Prix de base,Prezzo di base,
"Numeric value, in the currency used by the website. e.g. 100000.","Numerischer Wert, in der Währung der Webseite. z.B. 100000.","Valeur numérique dans la devise utilisée par le site Web, p. ex. 100000.","Valore numerico, nella valuta utilizzata dal sito web, ad es. 100000.",
Smallest increase step,Kleinster Erhöhungsschritt,Plus petit incrément,Fase dell’incremento più piccolo,
Title,Überschrift,Civilité,Titolo,
The title to display at the top of the offer form in the website.,"Ein Überschrift, der zuoberst im Gebotsformular auf der Website angezeigt wird.",Le titre à afficher en haut du formulaire d’offre sur le site Web.,Il titolo da visualizzare sulla parte superiore del modulo dell’offerta nel sito web.,
Description,Beschreibung,Description,Descrizione,
The description to display at the top of the offer form in the website.,"Eine Beschreibung, der zuoberst im Gebotsformular auf der Website angezeigt wird.",La description à afficher en haut du formulaire d’offre sur le site Web.,La descrizione da visualizzare sulla parte superiore del modulo dell’offerta nel sito web.,
The auction submission form cannot be displayed because the smallest increase step is not set or is zero.,"Das Auktions-Formular kann nicht angezeigt werden, da der Erhöhungsschritt ist null oder nicht gesetzt.","Le formulaire de soumission aux enchères ne peut être affiché, car le plus petit incrément n’est pas défini ou est égal à zéro.",Il modulo di invio dell’asta non può essere visualizzato perché la fase di incremento più piccola non è impostata o è pari a zero.,
You are the highest bidder,Sie sind Höchstbietender,Vous êtes le plus offrant,Lei è il maggior offerente,
Enter your offer here...,Ihr Angebot hier eingeben…,Entrez votre offre ici...,Immettere la Sua offerta qui...,
Make an offer,Angebot abgeben,Faire une offre,Fare un’offerta,
"Are you sure you want to place a bid of <span class=""offer-amount"">[[offer]]</span>?","Sind Sie sicher <span class=""offer-amount"">[[offer]]</span> zu bieten?","Êtes-vous sûr de vouloir faire une offre de <span class=""offer-amount"">[[offer]]</span>?","È sicuro di fare un’offerta di <span class=""offer-amount"">[[offer]]</span>?",
Cancel,Abbrechen,Annuler,Annullare,
Offer too small,Angebot zu klein,Offre insuffisante,Offerta troppo piccola,
The auction for %1$s has expired.,Die Auktion für %1$s ist abgelaufen.,La vente aux enchères pour %1$s a expiré.,L’asta per %1$s è scaduta.,
Your offer could not be accepted because your previous offer is already the highest bid.,Ihr bisheriges Gebot ist bereits das höchste Gebot.,Votre offre n’a pas pu être acceptée parce que votre offre précédente est déjà l’offre la plus élevée.,Non è stato possibile accettare la Sua offerta perché la Sua offerta precedente già costituisce l’offerta maggiore.,
Your offer is too low because a higher offer has been received. Please reload the page to see the current information.,"Ihr Angebot ist zu tief, da bereits ein höheres Angebot abgesetzt wurde. Bitte laden Sie die Seite neu um die aktuellen Informationen zu sehen.","Votre offre est trop faible, car une offre plus élevée a été reçue. Veuillez recharger la page pour voir les informations actuelles.",La Sua offerta è troppo bassa perché è stata ricevuta un’offerta maggiore. Ricaricare la pagina per visualizzare le informazioni correnti.,
Offer ID %1$s,Angebots ID %1$s,ID offre %1$s,ID offerta %1$s,
Basic price is not defined,Basis Preis ist nicht definiert,Le prix de base n’est pas défini,Il prezzo di base non è definito,
The auction ends on %1$s at %2$s,Die Auktion endet am %1$s um %2$s,La vente aux enchères se termine le %1$s à %2$s,L’asta termina il %1$s alle %2$s,
Current highest offer,Aktuelles Höchstgebot,Offre la plus élevée actuellement,Offerta maggiore attuale,
at,um,à,a,
A new auction offer of %1$s was submitted by %2$s on %3$s. You can see a list of all offers %4$s.,Ein neues Gebot von %1$s wurde von %2$s am %3$s eingereicht. Sie können alle Gebote %4$s einsehen.,Une nouvelle offre de vente aux enchères de %1$s a été soumise par %2$s sur %3$s. Vous pouvez voir une liste de toutes les offres %4$s.,È stata inviata una nuova offerta per asta di %1$s da %2$s su %3$s. È possibile visualizzare un elenco di tutte le offerte %4$s.,
here,hier,ici,qui,
A new auction offer has been submitted,Ein neues Gebot wurde eingereicht,Une nouvelle offre a été soumise pour la vente aux enchères,È stata inviata una nuova offerta per asta,
"Sorry, you must be logged in to access this feature.","Sie müssen eingeloggt sein, im diese Funktion anzuwenden.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il login per accedere a questa funzionalità.,
A new auction offer of %1$s was submitted by %2$s on %3$s. You can view the details %4$s.,Ein neues Gebot von %1$s wurde von %2$s am %3$s eingereicht. Sie können die Details %4$s anzeigen.,,,
Enter your offer here,Ihr Angebot hier eingeben…,,,
Offer could not be successfully stored,Angebot konnte nicht gespeichert werden,,,
You are not the highest bidder,Sie sind nicht Höchstbietender,,,
Enter your offer here,Ihr Angebot hier eingeben…,,,
Teaser box,Teaserkasten,Teaser box,Casella teaser,
By !frappant: Image with Text,Von !frappant: Teaserkasten mit Bild und Text,Par !frappant: Image avec texte,Da !frappant: Immagine con testo,
Title:,Titel:,Titre:,Titolo:,
Selected image:,Ausgewähltes Bild:,Image sélectionnée:,Immagine selezionata:,
(That is a bit big…),(Etwas gross…),(C’est un peu gros ...),(È un po' grande…),
Preview,Vorschau,Aperçu,Anteprima,
File size %1$s,Dateigrösse %1$s,Taille de fichier %1$s,Dimensioni file %1$s,
Image URL:,Bild-URL:,URL de l’image:,URL immagine:,
Link:,Link:,Lien:,Link:,
Text:,Text:,Texte:,Testo:,
Advanced Settings,Erweiterte Einstellungen,Paramètres avancés,Impostazioni avanzate,
Image alternative text:,Alternativer Text:,Texte alternatif image:,Testo alternativo immagine:,
Image title:,Bildüberschrift:,Titre de l’image:,Titolo immagine:,
Forgot password link,«Password vergessen»-Link,Lien mot de passe oublié,Link password dimenticata,
Adds a “forgot password” link to the sidebar.,Fügt einen «Passwort vergessen»-Link in die Seitenspalte ein.,Ajoute un lien «Mot de passe oublié» à la barre latérale.,Aggiungi un link «password dimenticata» alla barra laterale.,
Lost your password?,Passwort vergessen?,Mot de passe perdu?,Password dimenticata?,
Embedded video player,Eingebetteter Video-Player,Lecteur vidéo intégré,Lettore video incorporato,
Adds an embedded video player to the widgets area.,Fügt einen eingebettenen Videoplayer in den Widget-Bereich ein.,Ajoute un lecteur vidéo intégré à la zone de widgets.,Aggiunge un lettore video incorporato nell’area widget.,
Video URL:,Video-URL:,URL de la vidéo:,URL video:,
Email address for contact requests,E-Mail-Adresse für Kontaktanfragen,Adresse e-mail pour les demandes de contact,Indirizzo e-mail per richieste di contatti,
"Embed a video player, e.g. from YouTube.",Ein Videoplayer aus z.B. YouTube einbetten.,Cette adresse e-mail permettra aux visiteurs du site Web de contacter le propriétaire du site.,Questo indirizzo e-mail verrà utilizzato per funzioni che consentono al visitatore del sito web di contattare il proprietario del sito web.,
Storage folder for files,Dateiablage,Dossier de stockage des fichiers,Cartella archiviazione per file,
Root folder on the server which contains all Data Room files for this website.,"Rootverzeichnis auf dem Server, welches alle Dateien für den Data Room dieser Website enthält.",Le dossier racine sur le serveur qui contient tous les fichiers Data Room pour ce site Web.,Cartella radice sul server che contiene tutti i file Data Room per questo sito web.,
Storage folder for DD files,Verzeichnis für DD-Dateien,Dossier de stockage des fichiers DD,Cartella archiviazione per file DD,
The folder on the server which contains all files for the DD phase of this object.,"Das Verzeichnis auf dem Server, welches alle Dateien für die DD Phase dieses Objekt enthält.",Le dossier sur le serveur qui contient tous les fichiers pour la phase DD de cet objet.,La cartella sul server che contiene tutti i file per la fase DD di questo oggetto.,
Select,Auswählen,Sélectionner,Selezionare,
The main storage folder must be defined first.,Die Dateiablage muss zuerst ausgewählt und gespeichert werden.,Le dossier de stockage principal doit être d’abord défini.,Si deve innanzitutto definire la cartella archiviazione principale.,
Main Data Room page,Hauptseite des Data Rooms,Page d’accueil Data Room,Pagina Data Room principale,
None,Keine,Aucune,Nessuno,
The main page on the website which contains the list of Data Room files for this website.,"Die Seite, auf der die Liste der Dateien für das Data Room erscheint.",La page principale sur le site Web qui contient la liste des fichiers Data Room pour ce site Web.,La pagina principale sul sito web che contiene l’elenco dei file Data Room per questo sito.,
The plugin could not be activated because it conflicts with the active plugin “%1$s”.,"Das Plugin konnte nicht aktiviert werden, da es ein Konflikt mit dem bereits aktivierten Plugin «%1$s» aufweist.","Le plug-in n’a pas pu être activé, car il est en conflit avec le plug-in actif â€œ%1$sâ€ù.",Non è stato possibile attivare il plug-in perché è in conflitto con il plug-in attivo â€œ%1$sâ€ù.,
"A server error has occurred. Please <a href=""mailto:%1$s?subject=%2$s"">contact the website administrator</a> if this problem recurs.","Ein Server-Fehler ist aufgetreten. Bitte <a href=""mailto:%1$s?subject=%2$s"">kontaktieren Sie den Websiteadministrator</a>, wenn dieses Problem erneut auftritt.","Une erreur est survenue sur le serveur. Veuillez <a href=""mailto:%1$s?subject=%2$s"">contacter l’administrateur du site Web</a> si ce problème se reproduit.","Si è verificato un errore del server. Contattare <a href=""mailto:%1$s?subject=%2$s"">l’amministratore del sito web</a> se questo problema dovesse ripresentarsi.",
Server error at %1$s,Server-Fehler auf %1$s,Erreur de serveur sur %1$s,Errore del server a %1$s,
This function is being prepared and will be available soon.,Diese Funktion ist in Vorbereitung und wird bald verfügbar sein.,Cette fonction est en cours de préparation et sera bientôt disponible.,Preparazione della funzione in corso; la funzione sarà disponibile a breve.,
Data Room,Data Room,Data Room,Data Room,
Download all new documents,Alle neuen Dokumente herunterladen,Télécharger tous les nouveaux documents,Scaricare tutti i nuovi documenti,
Download all documents,Alle Dokumente herunterladen,Télécharger tous les documents,Scaricare tutti di documenti,
Processing your request…,Ihre Anfrage wird verarbeitet…,Traitement de votre demande…,Elaborazione richiesta in corso…,
New documents in the Data Room,Neue Dokumente im Data Room,Nouveaux documents dans Data Room,Nuovi documenti nella Data Room,
There are no files available in the current view.,Es gibt keine Dateien in der aktuellen Ansicht.,Aucun fichier disponible dans la vue actuelle.,Non è disponibile alcun file nella visualizzazione attuale.,
No matches. (The term “%1$s” is automatically ignored.),Keine Treffer. (Der Suchbegriff «%1$s» wird automatisch ausgeschlossen.),Pas de résultats. (Le terme «%1$s» est automatiquement ignoré.),Nessuna corrispondenza. (Il termine «%1$s» viene ignorato automaticamente.),
There are no files available for this website.,Es sind keine Dateien für diese Website verfügbar.,Aucun fichier disponible pour ce site Web.,Non ci sono file disponibili per questo sito web.,
No matches.,Keine Treffer.,Pas de résultats.,Nessuna corrispondenza.,
"Sorry, you must be logged in to access this feature.","Sie müssen angemeldet sein, um auf diese Funktion zugreifen zu können.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il log in per accedere a questa funzionalità.,
%1$s - Request source folder is not set or is not a folder. Please ensure that both storage folders are selected in the frp_dataroom plugin settings.,"%1$s - Die Verzeichnisse der Dateiablage sind entweder nicht ausgewählt oder nicht auf dem Server verfügbar. Stellen Sie bitte sicher, dass beide Verzeichnisse in den Plugin-Einstellungen für frp_dataroom gesetzt sind.",%1$s - Le dossier source de la demande n’est pas défini ou n’est pas un dossier. Assurez-vous que les deux dossiers de stockage sont sélectionnés dans les paramètres de plug-in frp_dataroom.,%1$s - La cartella di origine della richiesta non è impostata o non è una cartella. Assicurarsi che entrambe le cartelle archiviazione siano selezionate nelle impostazioni di plug-in frp_dataroom.,
The requested file is currently not available. Please contact the system administrator.,Die angeforderte Datei ist derzeit nicht verfügbar. Bitte kontaktieren Sie den Systemadministrator.,Le fichier demandé n’est pas disponible actuellement. Veuillez contacter l’administrateur système.,Il file richiesto non è al momento disponibile. Contattare l’amministratore di sistema.,
Unable to create a necessary folder on the server. Please contact the system administrator.,Konnte ein benötigtes Verzeichnis auf dem Sever nicht kreieren. Bitte kontaktieren Sie den System-Administrator.,Impossible de créer un dossier requis sur le serveur. Veuillez contacter l’administrateur système.,Impossibile creare una cartella necessaria sul server. Contattare l’amministratore di sistema.,
The ZIP file could not be created. Please contact the system administrator.,Die ZIP-Datei konnte nicht kreiert werden. Bitte kontaktieren Sie den System-Administrator.,Le fichier ZIP n’a pas pu être créé. Veuillez contacter l’administrateur système.,Non è stato possibile creare il file ZIP. Contattare l’amministratore di sistema.,
Invalid source page. Please contact the system administrator.,Ungültige Quellenseite. Bitte kontaktieren Sie den Systemadministrator.,Page source non valide. Veuillez contacter l’administrateur système.,Pagina di origine non valida. Contattare l’amministratore di sistema.,
File package preparation in progress.,Vorbereitung des Datei-Pakets im Gange.,Paquet de fichiers en cours de préparation.,Preparazione pacchetto file in corso.,
A package of all files which are new to you is now available. Please click on the icon to download it.,"Ein Paket der für Sie neuen Dateien ist nun verfügbar. Klicken Sie bitte auf das Icon, um es herunter zu laden.",Un package est maintenant disponible avec tous les fichiers qui sont nouveaux pour vous. Veuillez cliquer sur l’icône pour le télécharger.,È ora disponibile un pacchetto di tutti i file per Lei nuovi. Fare clic sull’icona per scaricarlo.,
There are currently no new documents for you to download from the selected folder.,Derzeit gibt es keine für Sie neuen Dateien im ausgewählten Ordner.,Il n’y a actuellement pas de nouveaux documents à télécharger à partir du dossier sélectionné.,Attualmente non ci sono nuovi documenti da scaricare dalla cartella selezionata.,
"<p>You must be logged in before you can access this content.</p><a class=""button button-primary"" href=""%1$s"">Log in</a>","<p>Sie müssen sich einloggen, um diesen Inhalt zu sehen.</p><a class=""button button-primary"" href=""%1$s"">Login</a>","<p>Vous devez être connecté pour accéder à ce contenu.</p><a class=""button button-primary"" href=""%1$s"">Se connecter</a>","<p>Deve effettuare il login prima di accedere a questo contenuto.</p><a class=""button button-primary"" href=""%1$s"">Accedi</a>",
"There is currently no package of all documents available for this property. Please <a href=""mailto:%1$s?subject=%2$s"">contact the website administrator</a> with your request.","Derzeit gibt es kein Paket aller Dokumente für dieses Objekt. Bitte <a href=""mailto:%1$s?subject=%2$s"">wenden Sie sich an den Administrator der Website</a> mit Ihrer Anfrage.","Il n’y a actuellement aucun paquet avec l’ensemble des documents disponibles pour cette propriété. Veuillez <a href=""mailto:%1$s?subject=%2$s"">contacter l’administrateur du site Web</a> pour lui soumettre votre demande.","Attualmente non è disponibile alcun pacchetto di tutti di documenti per questa proprietà. Contattare <a href=""mailto:%1$s?subject=%2$s"">l’amministratore del sito web</a> con la Sua richiesta.",
Package request - all files for “%1$s”,Anfrage: Download-Archiv aller Dokumente für «%1$s»,Demande de package - tous les fichiers pour «%1$s»,Richiesta pacchetto - tutti i file per “%1$s”,
No ZIP file of all files is available at %1$s.,Keine ZIp-Datei aller Dateien ist für %1$s verfügbar.,Aucun fichier ZIP avec tous les fichiers n’est disponible sur %1$s.,Non è disponibile alcun file ZIP di tutti i file a %1$s.,
There is currently no package available. Please try again.,Derzeit steht kein Datei-Paket zur Verfügung. Bitte versuchen Sie es nochmals.,Il n’y a actuellement aucun paquet disponible. Veuillez réessayer.,Attualmente non è disponibile alcun pacchetto. Riprovare.,
Data Room Teaser,Data-Room-Teaser,Teaser Data Room,Teaser Data Room,
Adds a teaser to the widgets area containing a view of any folders containing files which the user has not yet seen.,"Fügt einen Teaser in den Widgets-Bereich ein, welches eine Ansicht der ungelesenen Dateien im Data Room für den User zur Verfügung stellt.",Ajoute un teaser à la zone de widgets comprenant une vue de tous les dossiers contenant des fichiers que l’utilisateur n’a pas encore vus.,Aggiunge un teaser all’area dei widget contenente una visualizzazione di qualsiasi cartella contenente i file che l’utente non ha ancora visto.,
You are logged in as <em>%s</em>.,Sie sind als <em>%s</em> angemeldet.,Vous êtes connecté en tant que <em>%s</em>.,Ha effettuato il login come <em>%s</em>.,
Current password,Aktuelles Passwort,Mot de passe actuel,Password corrente,
New password,Neues Passwort,Nouveau mot de passe,Nuova password,
New password (again),Neues Passwort bestätigen,Nouveau mot de passe (à nouveau),Nuova password (ancora),
Save,Speichern,Enregistrer,Salva,
The plugin “%1$s” requires WordPress %2$s or higher!,Das Plugin “%1$s” benötigt WordPress ab Version %2$s!,Le plug-in «%1$s» requiert WordPress %2$s ou supérieur!,Il plug-in “%1$s” richiede WordPress %2$s o versioni superiori!,
Edit profile,Benutzerprofil bearbeiten,Modifier le profil,Modifica profilo,
Insert shortcode for a profile-editing form,Shortcode für ein Benutzerverwaltungsformular einfügen,Insérer un shortcode pour un formulaire d’édition de profil,Immettere codice breve per un modulo di modifica del profilo,
"Please activate JavaScript in your browser. If you experience any difficulties, please get in touch.",Bitte aktivieren Sie JavaScript in Ihrem Webbrowser. Falls Sie Probleme entdecken, bitte nehmen Sie Kontakt mit uns auf.,Attivare JavaScript nel browser. Mettersi in contatto in caso di difficoltà.,
Password successfully changed,Passwort erfolgreich geändert,Mot de passe modifié avec succès,Modifica della password riuscita,
The passwords you entered do not match. Your password was not updated.,Die Eingabe des bisherigen Passworts stimmt nicht mit Ihrem aktuellen Passwort überein.,Les mots de passe que vous avez saisis ne correspondent pas. Votre mot de passe n’a pas été mis à jour.,Le password immesse non corrispondono. La password non è stata aggiornata.,
The current password you entered is incorrect.,Die Eingabe des aktuellen Passworts war inkorrekt.,Le mot de passe actuel que vous avez saisi est incorrect.,La password attuale inserita non è corretta.,
You haven't specified a new password,Sie haben kein neues Passwort bestimmt.,Vous n’avez pas spécifié de nouveau mot de passe,Non ha specificato una nuova password,
You are not permitted to perform this action.,Sie dürfen diese Aktion nicht ausführen.,Vous n’êtes pas autorisé à effectuer cette action.,Non è autorizzato a eseguire questa azione.,
"Dear Sir, dear Madam",Sehr geehrte Damen und Herren,"Madame, Monsieur",Gent.li signore e signori,
"This site contains current sales documentation, grouped by sales region.","Diese Seite beinhaltet Verkaufsdokumente, nach Verkaufsregion gruppiert.","Ce site contient des documents commerciaux actuels, regroupés par région de vente.","Questo sito contiene la documentazione attuale sulle vendite, raggruppata in regioni di vendite.",
All,Alle,Tous,Tutte,
Tendering procedure,Bieterverfahren,Procédure d’appel d’offres,Procedura di appalto,
Public announcement,Öffentliche Ausschreibung,Annonce publique,Annuncio pubblico,
Draft,Entwurf,Ébauche,Bozza,
Online,Online,En ligne,Online,
Sold,Verkauft,Vendu,Venduto,
Central region,Region Mitte,Région centrale,Regione centrale,
Western region,Region West,Région occidentale,Regione occidentale,
Eastern region,Region Ost,Région orientale,Regione orientale,
Ticino,Tessin,Tessin,Ticino,
Welcome to the website of %1$s,Willkommen auf der Webseite von %1$s,Bienvenue sur le site Web de %1$s,Benvenuti al sito web di %1$s,
FAQ,Häufig gestellte Fragen,FAQ,FAQ,
No matches. (The term “%1$s” is automatically ignored.),Keine Treffer. (Der Suchbegriff «%1$s» wird automatisch ausgeschlossen.),Pas de résultats. (Le terme «%1$s» est automatiquement ignoré.),Nessuna corrispondenza. (Il termine “%1$s” viene ignorato automaticamente.),
The necessary plugin “%1$s” is not active on the current site,Ein benötigtes Plugin «%1$s» ist auf der aktuellen Webseite nicht aktiviert.,Le plug-in nécessaire «%1$s» n’est pas actif sur le site actuel,Il plug-in necessario “%1$s” non è attivo sul sito attuale.,
"Sorry, but an essential plugin is not installed on this website. The technical administrator has been notified of the problem.",Ein benötigtes Plugin ist nicht installiert. Der technische Administrator wurde benachrichtigt.,"Désolé, mais un plug-in essentiel n’est pas installé sur ce site Web. L’administrateur technique a été informé du problème.","Siamo spiacenti, ma un plug-in essenziale non è installato su questo sito web. Il problema è stato notificato all’amministratore tecnico.",
No matches.,Keine Treffer.,Pas de résultats.,Nessuna corrispondenza.,
"Sorry, you must be logged in to access this feature.","Sie müssen angemeldet sein, um auf diese Funktion zugreifen zu können.","Désolé, vous devez être connecté pour accéder à cette fonctionnalité.",Siamo spiacenti. Deve effettuare il login per accedere a questa funzionalità.,
No matches. (The term “%1$s” is automatically ignored.),Keine Treffer. (Der Suchbegriff «%1$s» wird automatisch ausgeschlossen.),Pas de résultats. (Le terme «%1$s» est automatiquement ignoré.),Nessuna corrispondenza. (Il termine “%1$s” viene ignorato automaticamente.),
